Location,Type,Case,Longitude,Latitude,Log
S11 Dormitory @ Punggol,Dorm,2846,103.895358,1.41649,3.454234896
Sungei Tengah Lodge,Dorm,2203,103.718843,1.3765733,3.343014497
CDPL Tuas Dormitory,Dorm,2096,103.6372409,1.2716183,3.321391278
Jurong Penjuru dormitory,Dorm,2089,103.7311832,1.3164858,3.31993844
Cassia @ Penjuru,Dorm,1937,103.7319575,1.3179788,3.287129621
Acacia Lodge,Dorm,1788,103.7556285,1.339451,3.252367514
Tuas View Dormitory,Dorm,1503,103.6257365,1.3138196,3.176958981
Tuas South Dormitory,Dorm,1355,103.633646,1.2718413,3.131939295
Westlite Toh Guan Dormitory,Dorm,1336,103.7514677,1.3358179,3.125806458
Toh Guan Dormitory,Dorm,1333,103.7531845,1.3381297,3.124830149
Avery Lodge dormitory,Dorm,1210,103.730124,1.320429,3.08278537
Kian Teck Dormitory,Dorm,1132,103.694855,1.328666,3.053846427
Westlite Woodlands,Dorm,1057,103.8095088,1.4615398,3.024074987
The Leo dormitory,Dorm,1019,103.9038015,1.3372976,3.008174184
Blue Stars Dormitory,Dorm,982,103.6952953,1.3331031,2.992111488
SCM Tuas Lodge,Dorm,811,103.6142037,1.2642102,2.909020854
ASPRI Westlite-Papan,Dorm,808,103.7278591,1.3221168,2.907411361
Homestay Lodge,Dorm,728,103.9096635,1.338122,2.862131379
Westlite Mandai,Dorm,715,103.7582034,1.4071627,2.854306042
North Coast Lodge,Dorm,705,103.7873484,1.4561036,2.848189117
Kranji Lodge I,Dorm,681,103.7598538,1.4316705,2.833147112
Kian Teck Hostel,Dorm,618,103.6952288,1.3286465,2.790988475
Alaunia Lodge,Dorm,612,103.822894,1.459944,2.786751422
PPT Lodge 1A,Dorm,595,103.8965299,1.4190013,2.774516966
Shaw Lodge,Dorm,544,103.8841408,1.3371323,2.7355989
Mandai Lodge I,Dorm,530,103.7686363,1.4107043,2.72427587
Changi Lodge II,Dorm,528,103.9971406,1.312778,2.722633923
Hulett Dormitory,Dorm,517,103.8007015,1.4600443,2.713490543
Cochrane Lodge II,Dorm,492,103.8180487,1.4614063,2.691965103
Seatown Dormitory,Dorm,483,103.8447349,1.2789506,2.683947131
Woodlands Dormitory,Dorm,473,103.8046605,1.4547694,2.674861141
Woodlands Lodge I,Dorm,437,103.7948692,1.4500556,2.640481437
Cochrane Lodge I,Dorm,377,103.8201,1.4598279,2.57634135
SSKBJV Dormitory,Dorm,334,103.9875715,1.3220596,2.523746467
HSJV Dormitory,Dorm,328,103.9873355,1.319926,2.515873844
10 Shaw Road,Dorm,326,103.8846311,1.3369777,2.5132176
200A Tuas South Boulevard,Dorm,312,103.6144246,1.2645723,2.494154594
Woodlands Lodge II,Dorm,295,103.797066,1.451315,2.469822016
The Jovell construction site,Construction site,273,103.9654314,1.3576434,2.436162647
Hai Leck Engineering Pte Ltd,Office,269,103.633555,1.293545,2.42975228
8 Sungei Kadut Avenue,Office,258,103.7553264,1.4017428,2.411619706
31 Kranji Crescent,Dorm,237,103.7506975,1.43194865,2.374748346
31 Sungei Kadut Avenue,Dorm,236,103.753568,1.407394,2.372912003
23 Kaki Bukit Road 6,Dorm,233,103.9100032,1.3395813,2.367355921
SJ Dormitory,Dorm,229,103.7928544,1.4522503,2.359835482
Tampines Dormitory,Dorm,217,103.9307823,1.3669697,2.336459734
10 Gul Drive,Dorm,212,103.6736294,1.317769,2.326335861
21 Defu South Street 1,Office,212,103.8984945,1.3440521,2.326335861
2 Sungei Kadut Avenue,Dorm,207,103.7542936,1.3998209,2.315970345
21B Senoko Loop,Dorm,205,103.7974418,1.456279,2.311753861
